               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.062628,             0.96003,            0.015582,             0.35359,             0.16263,             0.10504,            0.027901,            0.069652,              1.3286,            0.014631,             0.00811,             0.00811,             0.00811
                  65,            0.062661,             0.95007,            0.015522,             0.61328,              0.1686,             0.24365,            0.064845,            0.067076,              1.1352,            0.014891,             0.00808,             0.00808,             0.00808
                  66,            0.064136,             0.98488,            0.015953,             0.61328,              0.1686,             0.24365,            0.064845,            0.067076,              1.1352,            0.014891,             0.00805,             0.00805,             0.00805
                  67,            0.063135,             0.95105,            0.015457,             0.60515,             0.15975,             0.11037,            0.033795,            0.067763,              1.1498,            0.014241,             0.00802,             0.00802,             0.00802
                  68,            0.064069,             0.96883,            0.015562,             0.60515,             0.15975,             0.11037,            0.033795,            0.067763,              1.1498,            0.014241,             0.00799,             0.00799,             0.00799
                  69,            0.063966,             0.95158,            0.015404,             0.60515,             0.15975,             0.11037,            0.033795,            0.067763,              1.1498,            0.014241,             0.00796,             0.00796,             0.00796
                  70,            0.060346,             0.89959,            0.015014,             0.63976,              0.1811,             0.14573,            0.050933,            0.064086,              1.0955,            0.014205,             0.00793,             0.00793,             0.00793
                  71,             0.06026,             0.90528,            0.014881,             0.63976,              0.1811,             0.14573,            0.050933,            0.064086,              1.0955,            0.014205,              0.0079,              0.0079,              0.0079
                  72,             0.06481,             0.97573,            0.014765,            0.072622,             0.11454,            0.058527,            0.023624,            0.072123,              1.2273,             0.01433,             0.00787,             0.00787,             0.00787
                  73,            0.071018,              1.0477,            0.016924,            0.072622,             0.11454,            0.058527,            0.023624,            0.072123,              1.2273,             0.01433,             0.00784,             0.00784,             0.00784
                  74,            0.070479,              1.0473,            0.014707,              0.1564,             0.19149,             0.16608,            0.068022,            0.069263,              1.0746,            0.014457,             0.00781,             0.00781,             0.00781
                  75,             0.06754,             0.87899,            0.015074,              0.1564,             0.19149,             0.16608,            0.068022,            0.069263,              1.0746,            0.014457,             0.00778,             0.00778,             0.00778
                  76,            0.067482,             0.87656,             0.01505,              0.1564,             0.19149,             0.16608,            0.068022,            0.069263,              1.0746,            0.014457,             0.00775,             0.00775,             0.00775
                  77,            0.069189,             0.95166,             0.01517,             0.40159,              0.1571,             0.15118,            0.049416,            0.072397,              1.2461,              0.0143,             0.00772,             0.00772,             0.00772
                  78,            0.071205,              1.0343,             0.01541,             0.40159,              0.1571,             0.15118,            0.049416,            0.072397,              1.2461,              0.0143,             0.00769,             0.00769,             0.00769
                  79,            0.071086,              1.0035,            0.015506,             0.40109,             0.19352,             0.16253,             0.05815,            0.071183,              1.0975,            0.014149,             0.00766,             0.00766,             0.00766
                  80,            0.065771,             0.88853,             0.01521,             0.40109,             0.19352,             0.16253,             0.05815,            0.071183,              1.0975,            0.014149,             0.00763,             0.00763,             0.00763
                  81,            0.066573,             0.87811,            0.017416,             0.40109,             0.19352,             0.16253,             0.05815,            0.071183,              1.0975,            0.014149,              0.0076,              0.0076,              0.0076
                  82,            0.063356,             0.91157,            0.015028,             0.41067,             0.19228,             0.17484,            0.076793,            0.061913,              1.0947,            0.014477,             0.00757,             0.00757,             0.00757
                  83,            0.063322,             0.91457,             0.01498,             0.41067,             0.19228,             0.17484,            0.076793,            0.061913,              1.0947,            0.014477,             0.00754,             0.00754,             0.00754
                  84,             0.06152,             0.90516,            0.015573,             0.11797,              0.1805,             0.12843,            0.052102,            0.057264,              1.1484,            0.015111,             0.00751,             0.00751,             0.00751
                  85,            0.056393,             0.88894,            0.015235,             0.11797,              0.1805,             0.12843,            0.052102,            0.057264,              1.1484,            0.015111,             0.00748,             0.00748,             0.00748
                  86,            0.056574,             0.88715,            0.015285,             0.11797,              0.1805,             0.12843,            0.052102,            0.057264,              1.1484,            0.015111,             0.00745,             0.00745,             0.00745
                  87,            0.056999,             0.91629,            0.014974,             0.11415,             0.17858,             0.10385,            0.045934,            0.057573,               1.154,            0.014171,             0.00742,             0.00742,             0.00742
