               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.054413,             0.77567,            0.019143,             0.20135,             0.25747,             0.18022,            0.068978,            0.064626,              1.0369,            0.021266,           0.0086886,           0.0086886,           0.0086886
                  53,             0.05406,             0.76277,            0.019076,             0.15379,             0.19748,             0.12667,            0.046595,            0.063286,             0.94091,            0.020052,           0.0086629,           0.0086629,           0.0086629
                  54,            0.053855,             0.73564,            0.018976,             0.16619,             0.23118,             0.13966,             0.05822,            0.065272,             0.97268,            0.021046,           0.0086371,           0.0086371,           0.0086371
                  55,            0.057255,             0.75038,            0.018942,             0.16619,             0.23118,             0.13966,             0.05822,            0.065272,             0.97268,            0.021046,           0.0086114,           0.0086114,           0.0086114
                  56,            0.054737,             0.74594,            0.018944,             0.17202,             0.23139,             0.13964,            0.054941,            0.064613,              0.9818,            0.020541,           0.0085857,           0.0085857,           0.0085857
                  57,            0.053041,             0.74369,            0.018871,             0.19882,             0.27082,             0.17179,            0.078522,            0.060138,             0.95107,            0.020464,             0.00856,             0.00856,             0.00856
                  58,            0.051993,             0.74308,            0.018775,             0.19882,             0.27082,             0.17179,            0.078522,            0.060138,             0.95107,            0.020464,           0.0085343,           0.0085343,           0.0085343
                  59,            0.052428,             0.71373,            0.018832,             0.21412,              0.2803,              0.1915,            0.088131,            0.061412,             0.90539,            0.020229,           0.0085086,           0.0085086,           0.0085086
                  60,            0.053751,             0.72994,            0.018746,             0.14192,             0.20171,             0.11826,            0.040062,            0.064484,             0.98226,            0.020083,           0.0084829,           0.0084829,           0.0084829
                  61,            0.054305,             0.74972,            0.018658,             0.20883,              0.2743,             0.18068,             0.08436,            0.059115,             0.92699,            0.020998,           0.0084571,           0.0084571,           0.0084571
                  62,            0.049361,             0.70809,            0.018727,             0.20883,              0.2743,             0.18068,             0.08436,            0.059115,             0.92699,            0.020998,           0.0084314,           0.0084314,           0.0084314
                  63,            0.050126,             0.73411,            0.018602,             0.16052,             0.22635,             0.13224,            0.049332,            0.059392,              1.0026,            0.019617,           0.0084057,           0.0084057,           0.0084057
                  64,            0.049281,             0.71747,            0.018579,             0.20579,             0.27199,             0.17389,            0.082167,            0.056909,             0.90642,            0.020837,             0.00838,             0.00838,             0.00838
                  65,            0.048076,             0.70969,            0.018618,             0.20579,             0.27199,             0.17389,            0.082167,            0.056909,             0.90642,            0.020837,           0.0083543,           0.0083543,           0.0083543
                  66,            0.048152,              0.7096,            0.018458,             0.20502,             0.27195,             0.17792,            0.083694,            0.057327,             0.88768,            0.019765,           0.0083286,           0.0083286,           0.0083286
                  67,            0.048768,             0.71097,            0.018481,             0.21023,             0.27172,             0.17453,            0.078632,            0.057937,             0.96219,            0.020167,           0.0083029,           0.0083029,           0.0083029
                  68,             0.04939,             0.72357,            0.018527,             0.20686,             0.27417,             0.17133,            0.081537,            0.059907,             0.91309,            0.019529,           0.0082771,           0.0082771,           0.0082771
                  69,            0.048272,             0.69294,            0.018388,             0.20686,             0.27417,             0.17133,            0.081537,            0.059907,             0.91309,            0.019529,           0.0082514,           0.0082514,           0.0082514
                  70,            0.049354,             0.71357,            0.018367,              0.2001,             0.26649,              0.1678,            0.076086,            0.059296,             0.94724,            0.019848,           0.0082257,           0.0082257,           0.0082257
                  71,            0.048188,             0.70093,            0.018362,             0.22456,             0.29388,             0.19409,            0.097699,            0.056788,             0.88569,            0.020134,              0.0082,              0.0082,              0.0082
                  72,            0.046327,             0.68717,            0.018363,             0.22456,             0.29388,             0.19409,            0.097699,            0.056788,             0.88569,            0.020134,           0.0081743,           0.0081743,           0.0081743
                  73,            0.046679,             0.69338,            0.018333,             0.22441,             0.29497,             0.19398,            0.091748,            0.057524,               0.901,            0.020144,           0.0081486,           0.0081486,           0.0081486
                  74,            0.046588,             0.69368,            0.018273,             0.21224,             0.27571,             0.17458,            0.078628,            0.056793,             0.98328,            0.019313,           0.0081229,           0.0081229,           0.0081229
                  75,            0.046655,             0.69047,            0.018208,             0.23135,             0.29807,             0.19604,            0.090315,            0.058269,              0.8909,             0.02004,           0.0080971,           0.0080971,           0.0080971
                  76,            0.046508,             0.67182,            0.018235,             0.23135,             0.29807,             0.19604,            0.090315,            0.058269,              0.8909,             0.02004,           0.0080714,           0.0080714,           0.0080714
                  77,            0.050242,             0.71959,            0.018086,             0.20322,             0.24792,             0.16549,            0.066307,            0.062365,              1.2297,             0.01926,           0.0080457,           0.0080457,           0.0080457
                  78,            0.050138,             0.70945,            0.018015,             0.22914,             0.30232,             0.20168,            0.097828,            0.059246,              0.9366,            0.019464,             0.00802,             0.00802,             0.00802
                  79,            0.048364,             0.67726,            0.018059,             0.25046,             0.29037,             0.21099,            0.097844,            0.055202,              1.0798,            0.020291,           0.0079943,           0.0079943,           0.0079943
                  80,            0.045372,             0.69609,            0.018092,             0.25046,             0.29037,             0.21099,            0.097844,            0.055202,              1.0798,            0.020291,           0.0079686,           0.0079686,           0.0079686
                  81,            0.045337,               0.689,             0.01805,             0.23178,             0.30473,             0.19778,            0.092373,            0.056364,             0.95631,            0.019403,           0.0079429,           0.0079429,           0.0079429
                  82,            0.044585,             0.67626,            0.017963,             0.24863,             0.27917,             0.20475,            0.098298,             0.05364,             0.94151,            0.019815,           0.0079171,           0.0079171,           0.0079171
                  83,             0.04474,             0.68416,            0.017982,             0.24863,             0.27917,             0.20475,            0.098298,             0.05364,             0.94151,            0.019815,           0.0078914,           0.0078914,           0.0078914
                  84,            0.047455,             0.68317,            0.018033,             0.20657,             0.27669,             0.16987,            0.064789,            0.058199,             0.95821,            0.019591,           0.0078657,           0.0078657,           0.0078657
                  85,            0.048695,             0.65648,            0.017951,             0.21319,             0.25251,             0.17452,            0.082882,            0.059085,             0.84666,             0.01988,             0.00784,             0.00784,             0.00784
                  86,            0.050381,             0.65365,            0.017918,             0.19913,             0.26351,             0.15933,            0.062883,            0.064616,             0.97314,            0.019063,           0.0078143,           0.0078143,           0.0078143
                  87,            0.053393,              0.6602,            0.017926,             0.19913,             0.26351,             0.15933,            0.062883,            0.064616,             0.97314,            0.019063,           0.0077886,           0.0077886,           0.0077886
                  88,            0.051992,             0.66962,            0.017922,             0.26254,             0.31807,             0.22183,            0.097222,            0.058758,             0.87668,            0.019307,           0.0077629,           0.0077629,           0.0077629
                  89,            0.048886,             0.65296,            0.017862,             0.24096,             0.31468,             0.20723,             0.10915,            0.052862,             0.90996,            0.019658,           0.0077371,           0.0077371,           0.0077371
                  90,            0.044078,             0.67798,            0.017919,             0.24096,             0.31468,             0.20723,             0.10915,            0.052862,             0.90996,            0.019658,           0.0077114,           0.0077114,           0.0077114
                  91,            0.045212,             0.64063,            0.017804,             0.22748,             0.29446,             0.19249,             0.10434,            0.054888,             0.93095,            0.018911,           0.0076857,           0.0076857,           0.0076857
                  92,            0.047634,             0.66287,            0.017799,             0.22388,             0.28567,             0.18822,            0.096719,            0.059019,              0.9036,            0.019768,             0.00766,             0.00766,             0.00766
                  93,            0.048827,             0.66918,            0.017813,             0.23851,             0.30089,             0.20445,            0.099922,            0.054843,             0.85533,            0.019326,           0.0076343,           0.0076343,           0.0076343
                  94,            0.045419,             0.64829,            0.017698,             0.23851,             0.30089,             0.20445,            0.099922,            0.054843,             0.85533,            0.019326,           0.0076086,           0.0076086,           0.0076086
                  95,            0.048924,             0.65543,            0.017667,             0.22586,             0.28928,             0.19128,             0.10264,            0.056764,             0.85665,            0.019487,           0.0075829,           0.0075829,           0.0075829
                  96,            0.049046,             0.65755,            0.017638,             0.23802,             0.30885,             0.20655,             0.10781,            0.054205,             0.83614,            0.019426,           0.0075571,           0.0075571,           0.0075571
                  97,            0.045279,             0.62393,            0.017582,             0.23802,             0.30885,             0.20655,             0.10781,            0.054205,             0.83614,            0.019426,           0.0075314,           0.0075314,           0.0075314
                  98,            0.042162,             0.61304,            0.017498,               0.248,             0.32851,             0.21553,             0.11943,            0.051008,             0.82754,            0.018853,           0.0075057,           0.0075057,           0.0075057
                  99,            0.042851,             0.65189,            0.017599,             0.24244,             0.30675,             0.20784,              0.1012,            0.052851,             0.88272,            0.019802,             0.00748,             0.00748,             0.00748
                 100,            0.042841,             0.66169,            0.017639,             0.24225,              0.3127,             0.20807,             0.10452,            0.050949,             0.84071,            0.018926,           0.0074543,           0.0074543,           0.0074543
                 101,            0.041424,              0.6093,            0.017481,             0.24225,              0.3127,             0.20807,             0.10452,            0.050949,             0.84071,            0.018926,           0.0074286,           0.0074286,           0.0074286
                 102,            0.044608,             0.65576,            0.017488,               0.221,             0.28445,             0.18619,            0.091329,             0.05584,              1.1294,            0.018776,           0.0074029,           0.0074029,           0.0074029
                 103,            0.044104,             0.64629,            0.017407,             0.26743,             0.35101,             0.23947,             0.12759,             0.05054,             0.80801,            0.018804,           0.0073771,           0.0073771,           0.0073771
                 104,            0.040899,             0.60158,            0.017309,             0.26743,             0.35101,             0.23947,             0.12759,             0.05054,             0.80801,            0.018804,           0.0073514,           0.0073514,           0.0073514
                 105,            0.041129,             0.60384,            0.017266,             0.26723,             0.34597,             0.24199,             0.13168,            0.050329,             0.80067,            0.018828,           0.0073257,           0.0073257,           0.0073257
                 106,            0.043331,             0.63315,            0.017322,             0.22675,             0.29772,             0.19249,            0.095208,            0.052844,              1.0286,            0.018307,              0.0073,              0.0073,              0.0073
                 107,            0.043751,             0.64037,            0.017319,             0.26992,              0.3407,             0.23791,             0.12606,            0.050348,             0.79729,            0.018819,           0.0072743,           0.0072743,           0.0072743
                 108,            0.041502,             0.60027,            0.017275,             0.26992,              0.3407,             0.23791,             0.12606,            0.050348,             0.79729,            0.018819,           0.0072486,           0.0072486,           0.0072486
                 109,            0.046144,             0.64944,            0.017315,             0.21528,             0.24963,              0.1673,            0.082162,            0.056942,             0.86776,            0.019314,           0.0072229,           0.0072229,           0.0072229
                 110,            0.044975,             0.64182,             0.01724,             0.26717,             0.33276,             0.23205,             0.12663,            0.049512,             0.79699,            0.018781,           0.0071971,           0.0071971,           0.0071971
                 111,            0.040803,              0.5949,            0.017191,             0.21396,             0.27075,             0.17374,            0.090608,             0.05893,              1.0142,            0.018595,           0.0071714,           0.0071714,           0.0071714
                 112,             0.04814,             0.62834,            0.017296,             0.21396,             0.27075,             0.17374,            0.090608,             0.05893,              1.0142,            0.018595,           0.0071457,           0.0071457,           0.0071457
                 113,            0.047072,             0.60891,            0.017226,              0.2662,             0.31456,             0.22876,              0.1255,            0.054879,             0.79748,            0.018731,             0.00712,             0.00712,             0.00712
                 114,            0.045315,             0.60168,             0.01721,             0.26678,             0.33744,             0.23288,             0.12721,            0.050455,             0.82504,            0.018858,           0.0070943,           0.0070943,           0.0070943
                 115,            0.041259,             0.61026,            0.017219,             0.26678,             0.33744,             0.23288,             0.12721,            0.050455,             0.82504,            0.018858,           0.0070686,           0.0070686,           0.0070686
                 116,            0.041046,              0.5868,            0.017129,             0.27723,              0.3427,             0.24218,             0.13068,            0.049864,             0.78517,            0.018541,           0.0070429,           0.0070429,           0.0070429
                 117,            0.042997,             0.59476,            0.017123,             0.25709,             0.29585,              0.2197,             0.11277,            0.054163,             0.84626,            0.018774,           0.0070171,           0.0070171,           0.0070171
                 118,            0.044907,             0.60816,            0.017162,             0.28849,             0.33114,             0.24862,              0.1304,            0.050818,             0.80222,            0.018497,           0.0069914,           0.0069914,           0.0069914
                 119,             0.04128,             0.58121,            0.017044,             0.28849,             0.33114,             0.24862,              0.1304,            0.050818,             0.80222,            0.018497,           0.0069657,           0.0069657,           0.0069657
                 120,            0.042854,             0.59396,            0.017081,             0.25934,             0.32717,             0.22513,             0.11352,            0.052992,             0.86892,            0.018568,             0.00694,             0.00694,             0.00694
                 121,            0.042639,             0.59441,            0.017073,             0.30359,             0.32706,             0.26275,              0.1291,            0.049384,             0.85045,            0.018121,           0.0069143,           0.0069143,           0.0069143
                 122,            0.039242,             0.58439,            0.016991,             0.30359,             0.32706,             0.26275,              0.1291,            0.049384,             0.85045,            0.018121,           0.0068886,           0.0068886,           0.0068886
                 123,            0.038813,             0.56121,            0.016938,             0.28025,             0.35239,             0.24621,             0.13977,            0.049309,             0.79011,            0.018412,           0.0068629,           0.0068629,           0.0068629
                 124,            0.045725,             0.60263,            0.016947,             0.20082,             0.17748,             0.15189,            0.070215,            0.061771,              0.8757,            0.018292,           0.0068371,           0.0068371,           0.0068371
                 125,            0.053639,             0.64144,            0.016953,             0.26912,             0.30841,             0.22716,             0.12824,            0.055992,             0.78156,            0.018284,           0.0068114,           0.0068114,           0.0068114
                 126,            0.048167,              0.5615,            0.016809,             0.26912,             0.30841,             0.22716,             0.12824,            0.055992,             0.78156,            0.018284,           0.0067857,           0.0067857,           0.0067857
                 127,            0.046195,             0.58381,            0.016838,             0.30463,             0.26315,             0.23815,              0.1269,            0.054715,             0.85434,            0.018433,             0.00676,             0.00676,             0.00676
                 128,            0.044569,             0.59279,            0.016806,             0.23336,             0.31292,             0.20603,             0.10589,            0.055306,             0.88958,            0.018433,           0.0067343,           0.0067343,           0.0067343
                 129,            0.042796,             0.58582,            0.016919,             0.23336,             0.31292,             0.20603,             0.10589,            0.055306,             0.88958,            0.018433,           0.0067086,           0.0067086,           0.0067086
                 130,            0.042941,             0.56573,            0.016858,              0.2566,             0.33831,             0.22593,             0.12245,            0.053395,             0.78729,            0.018529,           0.0066829,           0.0066829,           0.0066829
                 131,            0.043436,             0.60102,            0.016869,             0.25912,             0.27314,             0.21268,            0.096447,            0.053743,             0.95862,            0.018221,           0.0066571,           0.0066571,           0.0066571
                 132,            0.042879,             0.60329,            0.016804,             0.27399,             0.33851,             0.23789,             0.12773,            0.048842,             0.77396,             0.01839,           0.0066314,           0.0066314,           0.0066314
                 133,            0.039479,             0.55169,            0.016811,             0.27399,             0.33851,             0.23789,             0.12773,            0.048842,             0.77396,             0.01839,           0.0066057,           0.0066057,           0.0066057
                 134,            0.039812,              0.5699,            0.016782,             0.26603,             0.34516,              0.2407,             0.12579,            0.050847,             0.93129,            0.018192,             0.00658,             0.00658,             0.00658
                 135,            0.039143,             0.56758,            0.016678,             0.25147,             0.32896,             0.21915,             0.11593,            0.049495,             0.88434,            0.018498,           0.0065543,           0.0065543,           0.0065543
                 136,            0.038492,             0.57799,            0.016738,             0.25147,             0.32896,             0.21915,             0.11593,            0.049495,             0.88434,            0.018498,           0.0065286,           0.0065286,           0.0065286
                 137,            0.038574,             0.57653,            0.016706,              0.2585,             0.32974,              0.2266,             0.12095,            0.048167,             0.82134,            0.018317,           0.0065029,           0.0065029,           0.0065029
                 138,            0.038588,             0.56326,            0.016703,             0.27436,             0.34891,             0.24082,             0.12639,            0.050279,             0.94008,            0.018096,           0.0064771,           0.0064771,           0.0064771
                 139,            0.038011,              0.5528,            0.016557,              0.2519,             0.33165,              0.2219,              0.1195,            0.048072,             0.80542,            0.018112,           0.0064514,           0.0064514,           0.0064514
                 140,             0.03772,             0.54291,            0.016554,              0.2519,             0.33165,              0.2219,              0.1195,            0.048072,             0.80542,            0.018112,           0.0064257,           0.0064257,           0.0064257
                 141,            0.039271,             0.56265,            0.016496,             0.29017,             0.35555,             0.25353,             0.12104,            0.051391,             0.90025,            0.018346,              0.0064,              0.0064,              0.0064
                 142,            0.038843,              0.5563,            0.016502,               0.258,             0.33982,             0.22498,             0.12315,            0.047143,               0.786,            0.017958,           0.0063743,           0.0063743,           0.0063743
                 143,            0.037576,             0.53372,            0.016531,             0.28121,             0.33889,             0.24382,             0.12854,            0.049404,              0.8834,            0.018482,           0.0063486,           0.0063486,           0.0063486
                 144,            0.038659,             0.56902,            0.016511,             0.28121,             0.33889,             0.24382,             0.12854,            0.049404,              0.8834,            0.018482,           0.0063229,           0.0063229,           0.0063229
                 145,             0.03758,             0.54191,             0.01646,             0.26567,             0.35019,             0.23498,             0.13171,            0.047085,             0.78631,            0.017882,           0.0062971,           0.0062971,           0.0062971
                 146,            0.036837,             0.53092,            0.016444,             0.26492,             0.33635,             0.22772,             0.11802,            0.049434,             0.90992,            0.018306,           0.0062714,           0.0062714,           0.0062714
                 147,            0.038037,             0.56473,            0.016369,             0.26492,             0.33635,             0.22772,             0.11802,            0.049434,             0.90992,            0.018306,           0.0062457,           0.0062457,           0.0062457
                 148,            0.036448,             0.51719,            0.016347,             0.26193,             0.34627,             0.22956,               0.127,            0.047142,             0.77435,            0.017889,             0.00622,             0.00622,             0.00622
                 149,            0.037475,             0.53417,            0.016436,             0.26144,             0.34226,               0.223,             0.12253,            0.048275,             0.84155,            0.018383,           0.0061943,           0.0061943,           0.0061943
                 150,            0.037292,             0.54033,            0.016382,             0.27607,             0.35271,             0.24364,             0.13212,             0.04702,             0.78922,            0.017973,           0.0061686,           0.0061686,           0.0061686
                 151,            0.036064,             0.51199,            0.016295,             0.27607,             0.35271,             0.24364,             0.13212,             0.04702,             0.78922,            0.017973,           0.0061429,           0.0061429,           0.0061429
                 152,            0.036367,             0.51945,             0.01632,              0.2624,             0.34845,             0.22347,             0.12526,            0.047597,             0.83321,            0.017868,           0.0061171,           0.0061171,           0.0061171
                 153,            0.036649,             0.52801,            0.016344,             0.27023,              0.3532,             0.23766,             0.12967,             0.04765,             0.80853,            0.018042,           0.0060914,           0.0060914,           0.0060914
                 154,             0.03606,              0.5128,             0.01624,             0.27023,              0.3532,             0.23766,             0.12967,             0.04765,             0.80853,            0.018042,           0.0060657,           0.0060657,           0.0060657
                 155,            0.035944,             0.50048,            0.016278,             0.25689,             0.34445,             0.22178,             0.12532,            0.046208,             0.77686,            0.017799,             0.00604,             0.00604,             0.00604
